"gene","logFC","logCPM","PValue","FDR"
"IGDCC3|9543",6.0866626030144,2.35356390747244,4.68187029858353e-37,7.20961207278878e-33
"ANTXR1|84168",1.64729845266212,7.47229920576266,3.31518612822015e-36,2.55252755942311e-32
"AEBP1|165",2.11980788546923,8.71577445408932,6.4329312182885e-34,3.30202359434749e-30
"ANGPTL2|23452",1.54852703989118,5.28807387635941,3.09914859314009e-33,1.19309472964411e-29
"FBN1|2200",2.11041009017033,6.06297392145543,3.98397838280053e-33,1.22698566233491e-29
"COL16A1|1307",1.87006952199303,5.11163026053917,9.98938359825476e-33,2.56377530049208e-29
"BGN|633",1.86373056945621,9.04035630115712,1.1665737912635e-32,2.56629568738095e-29
"COL5A1|1289",2.3825776940901,8.59596385090407,6.63591366392231e-32,1.27733043138424e-28
"SPARC|6678",1.7196749463519,10.6160517622189,1.91680848713446e-31,3.27965932148706e-28
"C1QTNF6|114904",1.6305162309138,5.05307215443678,2.38527544794824e-31,3.6730856622955e-28
"CRISPLD2|83716",2.21967264821302,5.55533217051195,2.71391300808576e-31,3.79923149195569e-28
"COL1A2|1278",1.97475894237357,11.2350233425757,4.00131582590403e-30,5.13468853359135e-27
"LAMB1|3912",1.58588123143029,6.04479598380913,9.02860198401199e-30,1.06947263039847e-26
"ZNF469|84627",1.99460702628034,5.04417443286452,1.47816592957343e-29,1.62587693925009e-26
"TIMP3|7078",2.18101955288705,8.16544760186916,2.02829432034333e-29,2.08224694926446e-26
"LOXL2|4017",1.5690295033716,5.61961997449821,3.82131333351715e-29,3.67777525142691e-26
"CALD1|800",1.27771556599388,7.92776876374361,4.29712836734062e-29,3.8924399840399e-26
"NUAK1|9891",1.6608855553638,4.62866679340417,1.68973344539101e-28,1.44556696253201e-25
"PTRF|284119",1.44919605976898,7.38159858108785,1.94365653432463e-28,1.57528247221395e-25
"MSRB3|253827",1.58245610196725,4.18099227068718,3.0575317146208e-28,2.35414654367228e-25
"COL1A1|1277",2.19257170859916,12.532394864812,3.31096142880159e-28,2.36382752927082e-25
"ECM2|1842",1.86678313044492,2.97474171820375,3.37711576361829e-28,2.36382752927082e-25
"COL6A3|1293",1.8902554965721,8.75512672245146,4.45552737411318e-28,2.95403727491991e-25
"CILP2|148113",1.97490712270544,5.03591640888519,4.603993415032e-28,2.95403727491991e-25
"KIF26B|55083",2.30025133089285,4.29243097378241,6.59234353261943e-28,4.06061992235226e-25
"COL6A2|1292",1.72393876376715,9.16478955249299,1.08640393326155e-27,6.43443621857487e-25
"EMILIN1|11117",1.94418057095891,6.32626298056698,1.81401656290623e-27,1.03459411304418e-24
"COL3A1|1281",2.18873353977908,10.8796573989729,1.92168265678815e-27,1.0553022475444e-24
"PALLD|23022",1.27430782103385,6.72349803735063,1.98738653021543e-27,1.0553022475444e-24
"SSC5D|284297",2.02989571142088,4.36229817489512,3.4605690771197e-27,1.75128636880635e-24
"FZD1|8321",1.39976631239407,5.54792627556228,3.52554564796395e-27,1.75128636880635e-24
"LOXL1|4016",1.51634734999777,6.19449691484458,6.17344599273697e-27,2.97077796381739e-24
"PDGFRB|5159",1.57344026079085,6.36598030554185,1.33292449406084e-26,6.21991038910388e-24
"HIC1|3090",1.66474235943988,3.64367513124556,1.65919651326471e-26,7.51469620816566e-24
"C1QTNF7|114905",2.16875332755406,1.89558280981051,2.15130525723255e-26,9.46512847317828e-24
"SH3PXD2B|285590",1.15135682982269,6.30721742229175,2.62564532901502e-26,1.12311978948617e-23
"THBS1|7057",1.62790323359644,7.88877172106123,3.60728952920386e-26,1.50131490433001e-23
"MMP2|4313",1.83474402734947,8.35509149746836,4.03632914234385e-26,1.63566927534087e-23
"CHSY3|337876",1.61602310799558,1.26873716304715,1.13623602906179e-25,4.48638425936475e-23
"GLT8D2|83468",1.84322769266269,3.62646221225819,1.69205764645079e-25,6.3934056390466e-23
"DCHS1|8642",1.68614100150751,5.25621956982586,1.70225099812268e-25,6.3934056390466e-23
"FLNC|2318",2.32397377724135,5.25131777334024,1.75038427135957e-25,6.4176589034919e-23
"COL8A1|1295",2.23714724504116,4.95110775771043,2.65291677175082e-25,9.50052682981185e-23
"VCAN|1462",2.10860110148748,7.0089283132794,5.10153010732057e-25,1.78541959369612e-22
"CACNA1C|775",2.11102233885507,2.68186860804493,5.57279440478992e-25,1.90701024531911e-22
"GPC6|10082",2.1102469293295,3.95982394104594,6.07019359498082e-25,2.03206328628499e-22
"DACT1|51339",1.75279130916121,2.90854574972221,7.82587449304603e-25,2.56405619826417e-22
"CDH11|1009",1.87163016687957,6.20624094212759,9.37892486894863e-25,3.00887633451958e-22
"LRP1|4035",1.34222452210583,8.4643769838891,1.18919249478042e-24,3.73721943410687e-22
"C1QTNF3|114899",2.16371186494992,4.32718171641636,1.43971714000777e-24,4.43404084779593e-22
"LZTS1|11178",1.52063305295558,3.16904806532731,1.98388496695997e-24,5.99016560906206e-22
"ANTXR2|118429",1.28301186854355,4.15691599532282,2.44197949904559e-24,7.2315465972698e-22
"KIAA1644|85352",2.85262131652405,1.97694252431004,2.6214912246489e-24,7.61666856006953e-22
"FSTL1|11167",1.40307821871421,7.61406870261831,3.73306215307508e-24,1.06454489065191e-21
"MMP14|4323",1.36878517730778,8.07728078893285,3.82661873784038e-24,1.07138367170916e-21
"COL6A1|1291",1.6882493936378,9.16431804235351,6.27053765423045e-24,1.72428588102669e-21
"ADAMTS7|11173",1.75604943877434,3.88238646906271,7.95974942997544e-24,2.15038914863494e-21
"VGF|7425",4.08657119821336,1.58198295074936,1.09509478337072e-23,2.90747664984927e-21
"CREB3L1|90993",1.6658181671583,5.15602838695985,1.21171601745868e-23,3.16257880556715e-21
